Name;ISIN;quantity;price;avgCost;netValue
FTSE All-World USD (Acc);IE00BK5BQT80;0.269595;163.14;166.863;43.98
Automation & Robotics USD (Acc);IE00BYZK4552;1.93922;17.814;18.5652;34.55
Broadcom;US11135F1012;0.0372;354.3;430.102;13.18
ASML;NL0010273215;0.007306;1462.4;1505.3019;10.68
Bird Construction;CA09076P1045;0.244324;39.16;40.634;9.57
Exxon Mobil;US30231G1022;0.056895;131.3;152.68;7.47
NVIDIA;US67066G1040;0.038323;185.24;195.8304;7.1
Crowdstrike Holdings (A);US22788C1053;0.010953;608.1;730.3675;6.66
TSMC (ADR);US8740391003;0.016918;373;409.143;6.31
Eli Lilly & Co;US5324571083;0.005129;985.1;967.2123;5.05
Keysight Technologies;US49338L1035;0.011028;289.55;323.8403;3.19
