signal_date,ticker,action,price,trade_value,trade_units,realized_pnl,post_trade_units,post_trade_cash
2026-05-08,TSLA,HOLD,428.3500061035156,0.0,0.0,0.0,0.0,10000.0
2026-05-08,AMD,HOLD,455.19000244140625,0.0,0.0,0.0,0.0,10000.0
2026-05-08,GOOGL,HOLD,400.79998779296875,0.0,0.0,0.0,0.0,10000.0
2026-05-08,META,HOLD,609.6300048828125,0.0,0.0,0.0,0.0,10000.0
2026-05-08,NVDA,HOLD,215.1999969482422,0.0,0.0,0.0,0.0,10000.0
2026-05-08,ASML,HOLD,1592.02001953125,0.0,0.0,0.0,0.0,10000.0
2026-05-11,TSLA,HOLD,445.0,0.0,0.0,0.0,0.0,10000.0
2026-05-11,AMD,HOLD,458.7900085449219,0.0,0.0,0.0,0.0,10000.0
2026-05-11,GOOGL,HOLD,388.6400146484375,0.0,0.0,0.0,0.0,10000.0
2026-05-11,META,HOLD,598.8599853515625,0.0,0.0,0.0,0.0,10000.0
2026-05-11,NVDA,HOLD,219.44000244140625,0.0,0.0,0.0,0.0,10000.0
2026-05-11,ASML,HOLD,1565.81005859375,0.0,0.0,0.0,0.0,10000.0
2026-05-12,TSLA,HOLD,433.45001220703125,0.0,0.0,0.0,0.0,10000.0
2026-05-12,AMD,HOLD,448.2900085449219,0.0,0.0,0.0,0.0,10000.0
2026-05-12,GOOGL,HOLD,387.3500061035156,0.0,0.0,0.0,0.0,10000.0
2026-05-12,META,HOLD,603.0,0.0,0.0,0.0,0.0,10000.0
2026-05-12,NVDA,HOLD,220.77999877929688,0.0,0.0,0.0,0.0,10000.0
2026-05-12,ASML,HOLD,1520.93994140625,0.0,0.0,0.0,0.0,10000.0
