Name;ISIN;quantity;price;avgCost;netValue
FTSE All-World USD (Acc);IE00BK5BQT80;0.269595;158.88;166.863;42.83
Automation & Robotics USD (Acc);IE00BYZK4552;1.93922;16.988;18.5652;32.94
ASML;NL0010273215;0.013858;1513.6;1587.4375;20.98
Broadcom;US11135F1012;0.0372;326.8;430.102;12.16
Bird Construction;CA09076P1045;0.244324;36.56;40.634;8.93
Exxon Mobil;US30231G1022;0.056895;130.72;152.68;7.44
NVIDIA;US67066G1040;0.038323;174.96;195.8304;6.7
Crowdstrike Holdings (A);US22788C1053;0.010953;563.9;730.3675;6.18
TSMC (ADR);US8740391003;0.016918;356.5;409.143;6.03
Eli Lilly & Co;US5324571083;0.005129;984;967.2123;5.05
Keysight Technologies;US49338L1035;0.011028;280.95;323.8403;3.1
